group,整備主体,用地確保方式,agri_ha
B,国交省,地役権,14.29850965
B,国交省,地役権,716.8412435
A,国交省,用地買収,10.2158754
A,国交省,用地買収,0.000524903
A,国交省,用地買収,0
A,国交省,用地買収,0
A,国交省,用地買収,0
A,国交省,用地買収,0
A,国交省,用地買収,0
B,国交省,地役権,16.26149016
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.0000685
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
B,国交省,地役権,690.3959428
B,国交省,地役権,334.3983494
B,国交省,地役権,125.4554013
D,地方自治体,地役権,0.026702889
B,国交省,地役権,66.7749677
B,国交省,地役権,99.69298855
A,国交省,用地買収,0.002311662
C,地方自治体,用地買収,0
D,地方自治体,地役権,9.530949071
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
A,国交省,用地買収,0.000000801
A,国交省,用地買収,0
A,国交省,用地買収,21.581185
A,国交省,用地買収,1.333098862
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
B,国交省,地役権,107.2139508
A,国交省,用地買収,65.5102617
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
A,国交省,用地買収,19.0879007
A,国交省,用地買収,0
C,地方自治体,用地買収,0.003188658
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.311358611
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.003169094
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.08313232
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.026960237
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.001550781
C,地方自治体,用地買収,0.082358693
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
B,国交省,地役権,441.7534604
B,国交省,地役権,979.6623677
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.05832523
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
A,国交省,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.023458101
C,地方自治体,用地買収,0.185501118
C,地方自治体,用地買収,0
B,国交省,地役権,49.78507667
B,国交省,地役権,42.66225512
B,国交省,地役権,38.61806346
B,国交省,地役権,59.27623566
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.007332186
A,国交省,用地買収,12.18791399
A,国交省,用地買収,0
C,地方自治体,用地買収,0.001571515
C,地方自治体,用地買収,0.00000869
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.000368449
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0.424285261
C,地方自治体,用地買収,0.027336121
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
B,国交省,地役権,70.28139634
A,国交省,用地買収,0
C,地方自治体,用地買収,0
C,地方自治体,用地買収,0
